"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
c_ssrs_3_2w,cssrs_c_measurs,,radio,"האם חשבת איך לעשות את זה (באיזה שיטה)","0, לא | 1, כן",,,,,,"[c_ssrs_1_2w]= '1' or [c_ssrs_2_2w]= '1'",y,,3,c_ssrs_other_measurs,,
c_ssrs_4_2w,cssrs_c_measurs,,radio,"האם היו לך כוונות אכן לפעול לפי המחשבות של להרוג את עצמך?","0, לא | 1, כן",,,,,,"[c_ssrs_1_2w]= '1' or [c_ssrs_2_2w]= '1'",y,,4,c_ssrs_other_measurs,,
c_ssrs_5_2w,cssrs_c_measurs,,radio,"האם התחלת לתכנן או שכבר סגרת את פרטי התוכנית של איך תהרוג/תהרגי את עצמך? האם יש לך כוונה לממש את תוכנית זו?","0, לא | 1, כן",,,,,,"[c_ssrs_1_2w]= '1' or [c_ssrs_2_2w]= '1'",y,,5,c_ssrs_other_measurs,,
c_ssrs_6_2w,cssrs_c_measurs,,radio,"האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך?  דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'","0, לא | 1, כן",,,,,,,y,,6,c_ssrs_other_measurs,,
c_ssrs_last_visit_6,cssrs_c_measurs,"אנא ענה/י על השאלה הבאה בהסתמך על התקופה שמאז הפעם הראשונה בה ביקרת במרפאה
",radio,"<div class=""rich-text-field-label""><p> </p> <p> </p> <p>האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך? דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'</p></div>","1, כן | 0, לא",,,,,,,,,,,,
c_ssrs_7,cssrs_c_measurs,,text,"בחודש האחרון, כמה פעמים עשית משהו מכל הדברים האלו?",,,,,,,,,,,,,
c_ssrs_8,cssrs_c_measurs,,text,"במשך כל חייך, כמה פעמים עשית משהו מכל הדברים האלו?",,,,,,,,,,,,,
c_ssrs_7_lastvis,cssrs_c_measurs,,radio,"האם מאז הביקור האחרון שלך במרפאה ניסית להתאבד?","1, כן | 0, לא",,,,,,,y,,,cssrs_c_sa_last,,
c_ssrs_8_lastvis,cssrs_c_measurs,,radio,"האם מאז הביקור האחרון שלך במרפאה ניסית לפגוע בעצמך -אבל לא כדי למות?","1, כן | 0, לא",,,,,,,y,,,cssrs_c_sa_last,,
sci_af_ca_1,sci_c,"שאלון זה כולל מספר שאלות על האופן בו את/ה מרגיש/ה בימים האחרונים.
בבקשה ענה/י לפי הימים האחרונים, כשהרגשת במצב הכי גרוע שלך",radio,"האם פחדת שתמות?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_2,sci_c,,radio,"האם חשת תחושות מוזרות בגופך?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_3,sci_c,,radio,"האם הרגשת שכואב לך כל כך עד שאינך יכול לסבול זאת?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_4,sci_c,,radio,"האם הרגשת שראשך מתפוצץ מיותר מדי מחשבות?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_5,sci_c,,radio,"האם הרגשת חסר/ת תקווה?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_6,sci_c,,radio,"האם הרגשת שאין מוצא?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_7,sci_c,,radio,"האם הרגשת שחייך בסכנה?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_8,sci_c,,radio,"האם הרגשת שהעולם סביבך שונה?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_9,sci_c,,radio,"האם הרגשת שכואב לך מאוד וזה לא יכול להיפסק?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_10,sci_c,,radio,"האם גופך או עורך הרגישו מוזר?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_11,sci_c,,radio,"האם הרגשת שמשהו קורה לגופך?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_12,sci_c,,radio,"האם הרגשת שמחשבותיך רצות מהר מדי?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_13,sci_c,,radio,"האם חשת פחד שדברים לעולם לא יהיו נורמליים שוב?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_14,sci_c,,radio,"האם היו לך רגשות שאינך יכול לתאר?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_15,sci_c,,radio,"האם הרגשת חוסר אונים לגבי שינוי?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_1,,
sci_af_ca_16,sci_c,,radio,"האם הרגשת לכוד?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_17,sci_c,,radio,"האם הרגשת כאב שחייב להיפסק?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_18,sci_c,,radio,"האם רצית שמחשבות רעות ייעלמו, אך הן לא?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_19,sci_c,,radio,"האם חשבת שדברים לעולם לא ישתנו?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_20,sci_c,,radio,"האם הרגשת שאין דרך מפלט?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_21,sci_c,,radio,"האם חשת לחץ בראש מלחשוב יותר מדי?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_22,sci_c,,radio,"האם הרגשת שאתה איבדת שליטה בלגרום לדברים להיות טובים יותר?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_23,sci_c,,radio,"האם הרגשת שראשך כואב מיותר מדי מחשבות בתוכו?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_24,sci_c,,radio,"האם הרגשת שאין דרך לתקן את בעיותיך?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_25,sci_c,,radio,"האם חשת שלעולם לא תרגיש יותר טוב בהמשך?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_26,sci_c,,radio,"האם חשבת שמשהו עלול להרוג אותך בפתאומיות כמו תאונת דרכים?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_27,sci_c,,radio,"האם הרגשת שמחשבותיך מבולבלות?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_28,sci_c,,radio,"האם הרגשת מוטרד ממחשבות לא הגיוניות?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_29,sci_c,,radio,"האם התעצבנת בקלות בגלל אחרים?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_30,sci_c,,radio,"האם איבדת שליטה על המזג שלך בקלות?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_2,,
sci_af_ca_31,sci_c,,radio,"האם כעסת רוב הזמן?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_32,sci_c,,radio,"האם העצבנות שלך גרמה לך לבעיות?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_33,sci_c,,radio,"האם היה לך קשה להירדם?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_34,sci_c,,radio,"האם התעוררת במהלך השינה?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_35,sci_c,,radio,"האם הרגשת עייף כאילו שלא ישנת מספיק?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_36,sci_c,,radio,"האם הרגשת שאתה לא מסוגל לדבר על רגשותייך ובעיותיך עם ההורים?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_37,sci_c,,radio,"האם הרגשת שאתה לא מסוגל לדבר על רגשותייך ובעיותיך עם חברים?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_38,sci_c,,radio,"האם הרגשת בודד?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_39,sci_c,,radio,"האם התרחקת מאחרים?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
sci_af_ca_40,sci_c,,radio,"האם הרגשת שאתה לא מסוגל להיות עם אחרים?","0, 0-כלל לא | 1, 1-מעט | 2, 2-במידת מה | 3, 3-במידה רבה | 4, 4-במידה רבה מאוד",,,,,,,y,,,sci_af_ca_3,,
dshi_pre_1,dshi_pre,"בבקשה סמנ/י את התשובה לשאלות הבאות רק אם ההתנהגות הייתה מכוונת או עם מטרה, אך ללא כוונה להרוג את עצמך.
כלומר,  אם עשית משהו בטעות או בלי כוונה אל תחשיב/י זאת.
(לדוגמא: נפלת ונפגעת בראש בטעות).

סמן את מספר הפעמים שאי פעם עשית מעשים אלו במהלך חייך",radio,"האם אי פעם חתכת בכוונה את פרק כף היד, זרוע או אזורים אחרים בגופך, או תקעת חפצים חדים לתוך העור שלך, כמו מחטים, סיכות, סיכות שדכן (לא כולל קעקועים, פירסינג ומחטים לשימוש בסמים)?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_pre,,
dshi_pre_2,dshi_pre,,radio,"האם אי פעם שרפת את עצמך בכוונה עם סיגריה, מצית או גפרור?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_pre,,
dshi_pre_3,dshi_pre,,radio,"האם אי פעם חרטת בכוונה מילים, תמונות, סמלים או סימנים אחרים על העור שלך, או שרטת את עצמך עד כדי דימום או צלקת (לא כולל קעקועים)?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_pre,,
dshi_pre_4,dshi_pre,,radio,"האם בכוונה מנעת החלמה של פצעים או נשכת את עצמך עד כדי תלישת העור?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_pre,,
dshi_pre_5,dshi_pre,,radio,"האם אי פעם חבטת בכוונה בראשך או הרבצת לעצמך עד שנוצר סימן?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_pre,,
dshi_pre_6,dshi_pre,,radio,"האם אי פעם פגעת בעצמך בכוונה באחת מהדרכים שהוזכרו למעלה ברמה כזו שהיית זקוק לאשפוז בבית-חולים או לטיפול רפואי?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_pre,,
dshi_post_1,dshi_post,"בבקשה סמנ/י את התשובה לשאלות הבאות רק אם ההתנהגות הייתה מכוונת או עם מטרה, אך ללא כוונה להרוג את עצמך.
כלומר,  אם עשית משהו בטעות או בלי כוונה אל תחשיב/י זאת.
(לדוגמא: נפלת ונפגעת בראש בטעות).

סמן את מספר הפעמים שאי פעם עשית מעשים אלו מאז תחילת הטיפול או מאז הביקור הראשון במרפאה (אם לא היה טיפול)",radio,"האם אי פעם חתכת בכוונה את פרק כף היד, זרוע או אזורים אחרים בגופך, או תקעת חפצים חדים לתוך העור שלך, כמו מחטים, סיכות, סיכות שדכן (לא כולל קעקועים, פירסינג ומחטים לשימוש בסמים)?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_post,,
dshi_post_2,dshi_post,,radio,"האם אי פעם שרפת את עצמך בכוונה עם סיגריה, מצית או גפרור?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_post,,
dshi_post_3,dshi_post,,radio,"האם אי פעם חרטת בכוונה מילים, תמונות, סמלים או סימנים אחרים על העור שלך, או שרטת את עצמך עד כדי דימום או צלקת (לא כולל קעקועים)?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_post,,
dshi_post_4,dshi_post,,radio,"האם בכוונה מנעת החלמה של פצעים או נשכת את עצמך עד כדי תלישת העור?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_post,,
dshi_post_5,dshi_post,,radio,"האם אי פעם חבטת בכוונה בראשך או הרבצת לעצמך עד שנוצר סימן?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_post,,
dshi_post_6,dshi_post,,radio,"האם אי פעם פגעת בעצמך בכוונה באחת מהדרכים שהוזכרו למעלה ברמה כזו שהיית זקוק לאשפוז בבית-חולים או לטיפול רפואי?","0, מעולם לא | 1, 1-2 פעמים | 2, 3-4 פעמים | 3, 5 פעמים או יותר",,,,,,"[age_child] = 12 or [age_child]> 12",,,,dshi_post,,
mfq_1,mfq_short,"אנא סמן/י בטבלה את האמירה שהכי מתארת אותך בשבועיים האחרונים",radio,"הרגשתי נורא או לא מאושר","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_2,mfq_short,,radio,"לא נהניתי כלל משום דבר","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
