original,new_name
bipolar_unclassified___2,bipolar_unclassified_clin___2
panic___1,panic_clin___1
panic___2,panic_clin___2
agoraphobia___1,agoraphobia_clin___1
separation_anxiety___1,separation_anxiety_clin___1
social_anxiety___1,social_anxiety_clin___1
social_anxiety___2,social_anxiety_clin___2
social_anxiety___3,social_anxiety_clin___3
phobia___1,phobia_clin___1
ocd___1,ocd_clin___1
ptsd___1,ptsd_clin___1
alcohol_depend___1,alcohol_depend_clin___1
alcohol_use___1,alcohol_use_clin___1
drug_depend___1,drug_depend_clin___1
drug_use___1,drug_use_clin___1
tourette___1,tourette_clin___1
motor_tics___1,motor_tics_clin___1
vocal_tics___1,vocal_tics_clin___1
transient_tics___1,transient_tics_clin___1
adhd_mix___1,adhd_mix_clin___1
adhd_attention___1,adhd_attention_clin___1
adhd_hyper___1,adhd_hyper_clin___1
conduct___1,conduct_clin___1
odd___1,odd_clin___1
psychotic___1,psychotic_clin___1
psychotic___2,psychotic_clin___2
affect_psychotic___1,affect_psychotic_clin___1
affect_psychotic___2,affect_psychotic_clin___2
anorexia___1,anorexia_clin___1
bulimia___1,bulimia_clin___1
anorexia_bulmus___1,anorexia_bulmus_clin___1
gad___1,gad_clin___1
adjustment___1,adjustment_clin___1
organic,organic_clin
development___1,development_clin___1
main_dianose,main_dianose_clin
mini_kid_sum_complete,mini_kid_sum_clin_complete
cssrs_fw_maya_timestamp,cssrs_fw_maya_timestamp
c_ssrs_fu_thought_1,c_ssrs_fu_thought_1_clin
c_ssrs_fu_thought_2,c_ssrs_fu_thought_2_clin
c_ssrs_fu_thought_3,c_ssrs_fu_thought_3_clin
c_ssrs_fu_thought_4,c_ssrs_fu_thought_4_clin
c_ssrs_fu_thought_5,c_ssrs_fu_thought_5_clin
c_ssrs_fu_intensity,c_ssrs_fu_intensity_clin
c_ssrs_fu_frequ,c_ssrs_fu_frequ_clin
c_ssrs_fu_lengh,c_ssrs_fu_lengh_clin
c_ssrs_fu_control,c_ssrs_fu_control_clin
c_ssrs_fu_deter,c_ssrs_fu_deter_clin
c_ssrs_fu_reason,c_ssrs_fu_reason_clin
c_ssrs_fu_attemp,c_ssrs_fu_attemp_clin
c_ssrs_fu_attemp_2_3,c_ssrs_fu_attemp_2_3_clin
c_ssrs_fu_attemp_3,c_ssrs_fu_attemp_3_clin
c_ssrs_fu_attemp_4,c_ssrs_fu_attemp_4_clin
c_ssrs_fu_attemp_4_2,c_ssrs_fu_attemp_4_2_clin
c_ssrs_fu_attemp_4_3,c_ssrs_fu_attemp_4_3_clin
c_ssrs_fu_attemp_5,c_ssrs_fu_attemp_5_clin
c_ssrs_fu_attemp_5_2,c_ssrs_fu_attemp_5_2_clin
c_ssrs_fu_attemp_5_3,c_ssrs_fu_attemp_5_3_clin
c_ssrs_fu_attemp_6,c_ssrs_fu_attemp_6_clin
c_ssrs_fu_attemp_6_2,c_ssrs_fu_attemp_6_2_clin
c_ssrs_fu_attemp_7,c_ssrs_fu_attemp_7_clin
c_ssrs_fu_attemp_8,c_ssrs_fu_attemp_8_clin
c_ssrs_fu_done,c_ssrs_fu_done_clin
c_ssrs_fu_done_2,c_ssrs_fu_done_2_clin
cssrs_fw_maya_complete,cssrs_fw_maya_complete
cssrs_t_timestamp,cssrs_t_clin_timestamp
c_ssrs_t_time,c_ssrs_t_time_clin
c_ssrs_t_2weeks_1,c_ssrs_t_2weeks_1_clin
c_ssrs_t_2weeks_2,c_ssrs_t_2weeks_2_clin
c_ssrs_t_2weeks_3,c_ssrs_t_2weeks_3_clin
c_ssrs_t_2weeks_4,c_ssrs_t_2weeks_4_clin
c_ssrs_t_2weeks_5,c_ssrs_t_2weeks_5_clin
c_ssrs_t_last_1,c_ssrs_t_last_1_clin
c_ssrs_t_last_2,c_ssrs_t_last_2_clin
c_ssrs_t_last_3,c_ssrs_t_last_3_clin
c_ssrs_t_last_4,c_ssrs_t_last_4_clin
c_ssrs_t_last_5,c_ssrs_t_last_5_clin
c_ssrs_t_life_1,c_ssrs_t_life_1_clin
c_ssrs_t_life_2,c_ssrs_t_life_2_clin
c_ssrs_t_life_3,c_ssrs_t_life_3_clin
c_ssrs_t_life_4,c_ssrs_t_life_4_clin
c_ssrs_t_life_5,c_ssrs_t_life_5_clin
c_ssrs_t_6,c_ssrs_t_6_clin
c_ssrs_t_7,c_ssrs_t_7_clin
c_ssrs_t_8,c_ssrs_t_8_clin
c_ssrs_t_9,c_ssrs_t_9_clin
c_ssrs_t_10,c_ssrs_t_10_clin
c_ssrs_t_11_2weeks,c_ssrs_t_11_2weeks_clin
c_ssrs_t_12_2weeks,c_ssrs_t_12_2weeks_clin
c_ssrs_t_13_2weeks,c_ssrs_t_13_2weeks_clin
c_ssrs_t_14_2weeks,c_ssrs_t_14_2weeks_clin
c_ssrs_t_15_2weeks,c_ssrs_t_15_2weeks_clin
c_ssrs_t_16_2weeks,c_ssrs_t_16_2weeks_clin
suicidal_behavior_last_11,suicidal_behavior_last_11_clin
suicidal_behavior_last_12,suicidal_behavior_last_12_clin
suicidal_behavior_last_13,suicidal_behavior_last_13_clin
suicidal_behavior_last_14,suicidal_behavior_last_14_clin
suicidal_behavior_last_15,suicidal_behavior_last_15_clin
suicidal_behavior_last_16,suicidal_behavior_last_16_clin
c_ssrs_t_11_life,c_ssrs_t_11_life_clin
c_ssrs_t_12_life,c_ssrs_t_12_life_clin
c_ssrs_t_13_life,c_ssrs_t_13_life_clin
c_ssrs_t_14_life,c_ssrs_t_14_life_clin
c_ssrs_t_15_life,c_ssrs_t_15_life_clin
c_ssrs_t_16_life,c_ssrs_t_16_life_clin
cssrs_t_complete,cssrs_t_clin_complete
record_id,record_id
redcap_event_name,redcap_event_name
id,id
