"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
iat_done_no,opening,,text,"נא פרט/י מדוע",,,,,,,"[iat_done] = '2'",,,,,," @HIDDEN-SURVEY"
group,opening,,checkbox,קבוצה,"1, IPT | 2, TAU | 3, Control",,,,,,,,,,,,
consent,opening,,radio,"האם נחתם טופס הסכמה להשתתפות במחקר?","1, כן | 2, לא",,,,,,,,,,,,
consent_no,opening,,text,"נא פרט/י מדוע",,,,,,,"[consent] = '2'",,,,,,
covid_1,covid19,,checkbox,"במהלך השבועיים האחרונים האם נחשפת למישהו שייתכן ונושא את ווירוס הקורונה/COVID-19?","1, כן, לאדם שעבר בדיקה חיובית לקורונה | 2, כן, לאדם עם אבחנה רפואית אך ללא בדיקה לקורונה | 3, כן, לאדם עם סימפטומים אפשריים אך ללא אבחנה רפואית | 4, לא","ניתן לסמן יותר מתשובה אחת",,,,,,,,,,,
covid_2,covid19,,radio,"במהלך השבועיים האחרונים האם היה חשד שנדבקת בווירוס הקורונה/COVID-19?","1, כן, בעל/ת בדיקה חיובית לקורונה | 2, כן, באבחנה רפואית אך ללא בדיקה לקורונה | 3, כן, בעל/ת סימפטומים אפשריים אך ללא אבחנה רפואית | 4, ללא סימפטומים או סימנים",,,,,,,,,,,,
covid_3,covid19,,checkbox,"במהלך השבועיים האחרונים האם אחד מהמצבים הבאים קרו לבן/בת משפחתך בגלל ווירוס הקורונה/COVID-19?","1, מחלה פיזית | 2, אשפוז | 3, בעל/ת סימפטומים, הוכנס/ה לבידוד עצמי | 4, ללא סימפטומים, הוכנס/ה לבידוד עצמי (למשל לאחר חשיפה אפשרית) | 5, אובדן עבודה | 6, ירידה משמעותית בהכנסות כלכליות | 7, נפטר/ה | 8, אף אחד מהמצבים הנ""ל","ניתן לסמן יותר מתשובה אחת",,,,,,,,,,,
covid_4,covid19,,radio,"במהלך השבועיים האחרונים עד כמה היית מודאג לגביי האפשרות להידבק?","1, בכלל לא | 2, מעט | 3, במידה בינונית | 4, במידה רבה | 5, במידה רבה מאוד",,,,,,,,,,,,
covid_5,covid19,,radio,"במהלך השבועיים האחרונים עד כמה היית מודאג שבני משפחה או חברים ידבקו?","1, בכלל לא | 2, מעט | 3, במידה בינונית | 4, במידה רבה | 5, במידה רבה מאוד",,,,,,,,,,,,
covid_6,covid19,,radio,"במהלך השבועיים האחרונים עד כמה היית מודאג שבריאותך הפיזית תושפע מווירוס הקורונה/COVID-19?","1, בכלל לא | 2, מעט | 3, במידה בינונית | 4, במידה רבה | 5, במידה רבה מאוד",,,,,,,,,,,,
covid_7,covid19,,radio,"במהלך השבועיים האחרונים עד כמה היית מודאג שבריאותך הנפשית/רגשית תושפע מווירוס הקורונה/ COVID-19?","1, בכלל לא | 2, מעט | 3, במידה בינונית | 4, במידה רבה | 5, במידה רבה מאוד",,,,,,,,,,,,
covid_8,covid19,,radio,"במהלך השבועיים האחרונים כמה את/ה קורא/ת או מדבר/ת על ווירוס הקורונה/COVID-19?","1, בכלל לא | 2, לעיתים רחוקות | 3, מידי פעם | 4, לעיתים קרובות | 5, רוב הזמן",,,,,,,,,,,,
age_child_pre,opening_child_pre,,text,"לפני שנתחיל בבקשה הזן/י מהו גילך?",,,number,0,99,,,y,,,,,
gender,opening_child_pre,,radio,"נא הזן את התשובה הנכונה לגביך","1, זכר | 2, נקבה | 3, אחר",,,,,,,y,,,,,
age_child,marisscisf,,text,"לפני שנתחיל בבקשה הזן/י מהו גילך?",,,number,0,99,,,,,,,," @HIDDEN-SURVEY"
maris_sci_sf_1,marisscisf,"אנא דרג/י עד כמה כל אחת מהשאלות הבאות מתייחסות אליך, באמצעות סימון במקום הנכון - 

בימים האחרונים, כשהרגשת במצב הכי גרוע שלך...",radio,"האם פחדת שתמות/י?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_2,marisscisf,,radio,"האם חשבת שמשהו עלול להרוג אותך בפתאומיות, כמו תאונת דרכים?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_3,marisscisf,,radio,"האם הרגשת שמחשבותיך מבולבלות?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_4,marisscisf,,radio,"האם הרגשת שאין לך דרך מפלט?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_5,marisscisf,,radio,"האם הרגשת שראשך עלול להתפוצץ מראש מחשבות?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_6,marisscisf,,radio,"האם הרגשת מוטרד ממחשבות לא הגיוניות?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_7,marisscisf,,radio,"האם הרגשת לכוד? שאין כל דרך לפתור את בעיותיך?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_8,marisscisf,,radio,"האם הרגשת שאתה מקבל כאב ראש מרוב מחשבות המתרוצצות בראשך?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_sci_sf_9,marisscisf,,radio,"האם רגשותיך כאבו עד כדי שלא יכולת לסבול יותר?","1, 1-כלל לא | 2, 2-מעט | 3, 3-במידה מה | 4, 4-במידה רבה | 5, 5-לחלוטין",,,,,,,,,,maris_sci_sf,,
maris_soq_sf_1,marissoqsf,"בבקשה דרג/י את דעתך הכללית על ההיגדים הבאים באשר להתאבדות, על ידי סימון במקום הנכון",radio,"הדרך בה אדם מתאבד כנראה משקפת את המידה בה הפעולה הייתה אימפולסיבית או מתוכננת","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_2,marissoqsf,,radio,"התאבדות היא פעולה מלאת רוע","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_3,marissoqsf,,radio,"רוב האנשים שמתאבדים לא מאמינים בחיים שלאחר המוות","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_4,marissoqsf,,radio,"התאבדות היא הפתרון היחיד להרבה בעיות בחיים","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_5,marissoqsf,,radio,"ניסיון התאבדות הוא ביסודו ""זעקה לעזרה""","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_6,marissoqsf,,radio,"בדרך כלל, לקרובים של קורבנות ההתאבדות לא היה מושג מה עומד לקרות","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_7,marissoqsf,,radio,"התנהגויות הרס עצמי שנמשכות לאורך זמן, כמו שימוש בסמים, יכולות להוות ניסיונות התאבדות לא מודעים","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
maris_soq_sf_8,marissoqsf,,radio,"התאבדות מתרחשת רק בחברות מתורבתות","1, 1-כלל לא מסכים/ה | 2, 2-לא מסכים/ה | 3, 3-לא יודע/ת | 4, 4-מסכים/ה | 5, 5-מסכים/ה ביותר",,,,,,,,,,maris_soq_sf,,
c_ssrs_1_life,cssrs_intake,"אנא ענה/י על השאלות הבאות בהסתמך על כל תקופת חייך",radio,"האם קיווית למות או ללכת לישון מבלי להתעורר?","0, לא | 1, כן",,,,,,,y,,,c_ssrs_life,,
c_ssrs_2_life,cssrs_intake,,radio,"האם היו לך מחשבות להרוג את עצמך?","0, לא | 1, כן",,,,,,,y,,,c_ssrs_life,,
c_ssrs_3_life,cssrs_intake,,radio,"האם חשבת איך לעשות את זה (באיזה שיטה)","0, לא | 1, כן",,,,,,"[c_ssrs_2_life] = '1'",y,,,c_ssrs_life,,
c_ssrs_4_life,cssrs_intake,,radio,"האם היו לך כוונות אכן לפעול לפי המחשבות של להרוג את עצמך?","0, לא | 1, כן",,,,,,"[c_ssrs_2_life] = '1'",y,,,c_ssrs_life,,
c_ssrs_5_life,cssrs_intake,,radio,"האם התחלת לתכנן או שכבר סגרת את פרטי התוכנית של איך תהרוג/תהרגי את עצמך? האם יש לך כוונה לממש את תוכנית זו?","0, לא | 1, כן",,,,,,"[c_ssrs_2_life] = '1'",y,,,c_ssrs_life,,
c_ssrs_6_life,cssrs_intake,,radio,"האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך? דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'","0, לא | 1, כן",,,,,,,y,,,c_ssrs_life,,
c_ssrs_1_2weeks,cssrs_intake,"אנא ענה/י על השאלות הבאות בהסתמך על השבועיים האחרונים
(שים/י לב כי מדובר בתקופת זמן שונה מהשאלון הקודם)
",radio,"האם קיווית למות או ללכת לישון מבלי להתעורר?","0, לא | 1, כן",,,,,,,y,,,c_ssrs_2weeks,,
c_ssrs_2_2weeks,cssrs_intake,,radio,"האם היו לך מחשבות להרוג את עצמך?","0, לא | 1, כן",,,,,,,y,,,c_ssrs_2weeks,,
c_ssrs_3_2weeks,cssrs_intake,,radio,"האם חשבת איך לעשות את זה (באיזה שיטה)?","0, לא | 1, כן",,,,,,"[c_ssrs_2_2weeks] = '1'",y,,,c_ssrs_2weeks,,
c_ssrs_4_2weeks,cssrs_intake,,radio,"האם היו לך כוונות אכן לפעול לפי המחשבות של להרוג את עצמך?","0, לא | 1, כן",,,,,,"[c_ssrs_2_2weeks] = '1'",y,,,c_ssrs_2weeks,,
c_ssrs_5_2weeks,cssrs_intake,,radio,"האם התחלת לתכנן או שכבר סגרת את פרטי התוכנית של איך תהרוג/תהרגי את עצמך? האם יש לך כוונה לממש את תוכנית זו?","0, לא | 1, כן",,,,,,"[c_ssrs_2_2weeks] = '1'",y,,,c_ssrs_2weeks,,
c_ssrs_6_2weeks,cssrs_intake,,radio,"האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך? דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'.","0, לא | 1, כן",,,,,,,y,,,c_ssrs_2weeks,,
c_ssrs_6_3month,cssrs_intake,,radio,"בשלושת החודשים האחרונים - 
האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך?
דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'.","0, לא | 1, כן",,,,,,,y,,,,,
c_ssrs_7_intake,cssrs_intake,,text,"בחודש האחרון, כמה פעמים עשית משהו מכל הדברים האלו?",,,number,0,999,,,y,,,,,
c_ssrs_8_intake,cssrs_intake,,text,"במשך כל חייך, כמה פעמים עשית משהו מכל הדברים האלו?",,,number,0,999,,,y,,,,,
mfq_1,mfq_short,"אנא סמן/י בטבלה את האמירה שהכי מתארת אותך בשבועיים האחרונים",radio,"הרגשתי נורא או לא מאושר","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_2,mfq_short,,radio,"לא נהניתי כלל משום דבר","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_5,mfq_short,,radio,"הרגשתי עייף/ה ופשוט ישבתי ולא עשיתי כלום","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_7,mfq_short,,radio,"הייתי מאוד חסר/ת מנוחה","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_8,mfq_short,,radio,"הרגשתי שאני לא שווה יותר","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_14,mfq_short,,radio,"בכיתי הרבה","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_21,mfq_short,,radio,"היה לי קשה להתרכז בדברים","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_23,mfq_short,,radio,"שנאתי את עצמי","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_24,mfq_short,,radio,"הרגשתי שאני בן אדם רע","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_27,mfq_short,,radio,"הרגשתי בודד/ה","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_28,mfq_short,,radio,"חשבתי שאף אחד לא באמת אוהב אותי","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_30,mfq_short,,radio,"חשבתי שאני אף פעם לא אהיה טוב כמו ילדים אחרים","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_31,mfq_short,,radio,"הרגשתי שכל מה שעשיתי היה לא טוב","0, 0-לא נכון | 1, 1-נכון חלקית | 2, 2-נכון",,,,,,,y,,,mfq,,
mfq_34,mfq_short,,radio,"האם אי פעם ניסית להתאבד?","1, כן | 2, לא",,,,,,,y,,,,,
mfq_35,mfq_short,,radio,"האם אי פעם ניסית לפגוע בעצמך לא כדי למות?","1, כן | 2, לא",,,,,,,y,,,,,
mfq_36,mfq_short,,radio,"האם בחודש האחרון ניסית להתאבד?","1, כן | 2, לא",,,,,,,y,,,,,
mfq_37,mfq_short,,radio,"האם בחודש האחרון ניסית לפגוע בעצמך לא כדי למות?","1, כן | 2, לא",,,,,,,y,,,,,
mfq_sum,mfq_short,,calc,"ציון MFQ","sum([mfq_1],[mfq_2],[mfq_5],[mfq_7],[mfq_8],[mfq_14],[mfq_21],[mfq_23],[mfq_24],[mfq_27],[mfq_28],[mfq_30],[mfq_31])",,,,,,,,,,,," @HIDDEN-SURVEY"
c_ssrs_1,cssrs,"אנא ענה/י על השאלות הבאות בהסתמך על השבועיים האחרונים",radio,"האם קיווית ללכת למות או ללכת לישון מבלי להתעורר?","0, לא | 1, כן",,,,,,,y,,1,c_ssrs,,
c_ssrs_2,cssrs,,radio,"האם היו לך מחשבות להרוג את עצמך?","0, לא | 1, כן",,,,,,,y,,2,c_ssrs,,
c_ssrs_3,cssrs,,radio,"האם חשבת איך לעשות את זה (באיזה שיטה)?","0, לא | 1, כן",,,,,,"[c_ssrs_2] = '1' or [c_ssrs_1] = '1'",y,,3,c_ssrs,,
c_ssrs_4,cssrs,,radio,"האם היו לך כוונות אכן לפעול לפי המחשבות של להרוג את עצמך?","0, לא | 1, כן",,,,,,"[c_ssrs_2] = '1' or [c_ssrs_1] = '1'",y,,4,c_ssrs,,
c_ssrs_5,cssrs,,radio,"האם התחלת לתכנן או שכבר סגרת את פרטי התוכנית של איך תהרוג/תהרגי את עצמך? האם יש לך כוונה לממש את תוכנית זו?","0, לא | 1, כן",,,,,,"[c_ssrs_2] = '1' or [c_ssrs_1] = '1'",y,,5,c_ssrs,,
c_ssrs_6,cssrs,,radio,"האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך? דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'.","0, לא | 1, כן",,,,,,,y,,6,c_ssrs,,
c_ssrs_last_visit_6,cssrs,"אנא ענה/י על השאלה הבאה בהסתמך על התקופה שמאז הפעם הראשונה בה ביקרת במרפאה
(נא שים/י לב לתקופת הזמן שאליה את/ה מתבקש/ת להתייחס)",radio,"האם עשית משהו, התחלת לעשות משהו, או תכננת לעשות משהו כדי לסיים את חייך? דוגמאות: אספת כדורים, השגת אקדח, מסרת לאחרים חפצי ערך שלך, כתבת צוואה או מכתב התאבדות, הוצאת כדורים אך לא בלעת אותם, החזקת באקדח אך שינית דעתך או שהוא נלקח ממך, עלית לגג אך לא קפצת; או באמת בלעת כדורים, ניסית לירות בעצמך, חתכת את עצמך, ניסית לתלות את עצמך וכיוב'","0, לא | 1, כן",,,,,,,y,,,c_ssrs_last_visit,,
c_ssrs_7,cssrs,,text,"בחודש האחרון, כמה פעמים עשית משהו מכל הדברים האלו?",,,number,0,999,,,y,,,,,
c_ssrs_8,cssrs,,text,"במשך כל חייך, כמה פעמים עשית משהו מכל הדברים האלו?",,,number,0,999,,,y,,,,,
siq_1,siq,"בשאלון שלפנייך רשומים משפטים המתארים מחשבות שיש לאנשים לפעמים.
אנא קרא/י כל משפט וציין/י אילו מהמחשבות הללו עברו בראשך בשבועיים האחרונים.
הקף/י בעיגול את הריבוע המתאים לתשובה המתארת בצורה הטובה ביותר את תדירות מחשבותייך הנ""ל.
זכר/י! אין תשובות נכונות ולא נכונות.",radio,"חשבתי שעדיף אם לא הייתי בחיים","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_2,siq,,radio,"חשבתי להרוג את עצמי","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_3,siq,,radio,"חשבתי איך אהרוג את עצמי","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_4,siq,,radio,"חשבתי מתי אהרוג את עצמי","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_5,siq,,radio,"חשבתי על אנשים שמתים","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_6,siq,,radio,"חשבתי על המוות","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_7,siq,,radio,"חשבתי על מה לכתוב במכתב התאבדות","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_8,siq,,radio,"חשבתי על כתיבת צוואה","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_9,siq,,radio,"חשבתי לספר לאנשים שאני מתכנן להרוג את עצמי","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_10,siq,,radio,"חשבתי על איך האנשים ירגישו אם אהרוג את עצמי","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_11,siq,,radio,"חשבתי: ""הלוואי והייתי מת""","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_12,siq,,radio,"חשבתי שאם אהרוג את עצמי זה יפתור את הבעיות שלי","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
siq_13,siq,,radio,"חשבתי שלאחרים יהיה הרבה יותר טוב אם אמות","6, 6-כמעט כל יום | 5, 5-מס' פעמים בשבוע | 4, 4-בערך פעם בשבוע | 3, 3-מס' פעמים בחודש | 2, 2-בערך פעם בחודש | 1, 1-היו בעבר, אך לא בחודש האחרון | 0, 0-אף פעם לא היו לי מחשבות כאלו",,,,,,,y,,,siq,,
